Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
30.5,0.4979166666666667,1.0,71.0,88.0,12.7083435,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
31.0,0.0,1.0,71.0,88.0,12.916677,0.0,4/4,4,4,1,G,major,143.99988480009216
31.5,0.4979166666666667,1.0,71.0,88.0,13.1250105,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
32.0,3.997916666666667,1.0,52.0,88.0,13.333344,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
32.5,0.4979166666666667,1.0,71.0,88.0,13.5416775,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
33.0,0.0,1.0,74.0,88.0,13.750011,0.0,4/4,4,4,1,G,major,143.99988480009216
33.5,0.4979166666666667,1.0,71.0,88.0,13.9583445,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
34.0,0.0,1.0,73.0,88.0,14.166678,0.0,4/4,4,4,1,G,major,143.99988480009216
34.5,0.4979166666666667,1.0,71.0,88.0,14.3750115,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
35.0,0.0,1.0,72.0,88.0,14.583345,0.0,4/4,4,4,1,G,major,143.99988480009216
35.5,0.4979166666666667,1.0,71.0,88.0,14.7916785,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
36.0,3.997916666666667,1.0,57.0,88.0,15.000012,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
36.5,0.4979166666666667,1.0,76.0,88.0,15.2083455,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
37.0,0.0,1.0,72.0,88.0,15.416679,0.0,4/4,4,4,1,G,major,143.99988480009216
37.5,0.4979166666666667,1.0,76.0,88.0,15.6250125,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
38.0,0.0,1.0,71.0,88.0,15.833346,0.0,4/4,4,4,1,G,major,143.99988480009216
38.5,0.4979166666666667,1.0,76.0,88.0,16.0416795,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
39.0,0.0,1.0,72.0,88.0,16.250013,0.0,4/4,4,4,1,G,major,143.99988480009216
39.5,0.4979166666666667,1.0,76.0,88.0,16.4583465,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
40.0,3.997916666666667,1.0,57.0,88.0,16.66668,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
40.5,0.4979166666666667,1.0,76.0,83.0,16.8750135,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
41.0,0.0,1.0,76.0,77.0,17.083347,0.0,4/4,4,4,1,G,major,143.99988480009216
41.5,0.4979166666666667,1.0,76.0,72.0,17.2916805,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
42.0,0.0,1.0,75.0,66.0,17.500014,0.0,4/4,4,4,1,G,major,143.99988480009216
42.5,0.4979166666666667,1.0,76.0,61.0,17.7083475,0.20746544375,4/4,4,4,1,G,major,143.99988480009216
43.0,0.0,1.0,76.0,55.0,17.916681,0.0,4/4,4,4,1,G,major,143.99988480009216
